"Time","Potential","Angle","Velocity","Acceleration"
16.5372,0.444,0.00,0.000,0.00
16.5628,0.323,0.00,0.000,0.00
16.5884,0.492,0.00,0.000,0.00
16.6140,0.293,0.00,0.000,0.00
16.6396,0.516,0.00,0.000,0.00
16.6652,0.278,0.00,0.000,0.00
16.6908,0.525,0.00,0.000,0.00
16.7164,0.244,0.00,0.000,0.00
16.7420,0.513,0.00,0.000,0.00
16.7676,0.284,0.00,0.000,0.00
16.7932,0.495,0.00,0.000,0.00
16.8188,0.341,0.00,0.000,0.00
16.8444,0.429,0.00,0.000,0.00
16.8700,0.438,0.00,0.000,0.00
16.8956,0.338,0.00,0.000,0.00
16.9212,0.483,0.00,0.000,0.00
