"Time","Potential","Angle","Velocity","Acceleration"
1.9584,1.589,0.00,0.000,0.00
1.9648,1.595,0.00,0.000,0.00
1.9712,1.592,0.00,0.000,0.00
1.9776,1.595,0.00,0.000,0.00
1.9840,1.592,0.00,0.000,0.00
1.9904,1.589,0.00,0.000,0.00
1.9968,1.592,0.00,0.000,0.00
2.0032,1.595,0.00,0.000,0.00
2.0096,1.595,0.00,0.000,0.00
2.0160,1.586,0.00,0.000,0.00
2.0224,1.595,0.00,0.000,0.00
2.0288,1.595,0.00,0.000,0.00
2.0352,1.595,0.00,0.000,0.00
2.0416,1.589,0.00,0.000,0.00
2.0480,1.595,0.00,0.000,0.00
2.0544,1.592,0.00,0.000,0.00
2.0608,1.598,0.00,0.000,0.00
2.0672,1.592,0.00,0.000,0.00
2.0736,1.589,0.00,0.000,0.00
2.0800,1.592,0.00,0.000,0.00
2.0864,1.595,0.00,0.000,0.00
2.0928,1.595,0.00,0.000,0.00
2.0992,1.583,0.00,0.000,0.00
2.1056,1.598,0.00,0.000,0.00
2.1120,1.592,0.00,0.000,0.00
2.1184,1.595,0.00,0.000,0.00
2.1248,1.589,0.00,0.000,0.00
2.1312,1.592,0.00,0.000,0.00
2.1376,1.595,0.00,0.000,0.00
2.1440,1.595,0.00,0.000,0.00
2.1504,1.592,0.00,0.000,0.00
2.1568,1.589,0.00,0.000,0.00
2.1632,1.595,0.00,0.000,0.00
2.1696,1.595,0.00,0.000,0.00
2.1760,1.595,0.00,0.000,0.00
2.1824,1.586,0.00,0.000,0.00
2.1888,1.595,0.00,0.000,0.00
2.1952,1.595,0.00,0.000,0.00
2.2016,1.595,0.00,0.000,0.00
2.2080,1.592,0.00,0.000,0.00
2.2144,1.589,0.00,0.000,0.00
2.2208,1.595,0.00,0.000,0.00
2.2272,1.595,0.00,0.000,0.00
2.2336,1.595,0.00,0.000,0.00
2.2400,1.586,0.00,0.000,0.00
2.2464,1.592,0.00,0.000,0.00
2.2528,1.595,0.00,0.000,0.00
2.2592,1.595,0.00,0.000,0.00
2.2656,1.583,0.00,0.000,0.00
2.2720,1.595,0.00,0.000,0.00
2.2784,1.595,0.00,0.000,0.00
2.2848,1.595,0.00,0.000,0.00
2.2912,1.589,0.00,0.000,0.00
2.2976,1.595,0.00,0.000,0.00
2.3040,1.595,0.00,0.000,0.00
2.3104,1.595,0.00,0.000,0.00
2.3168,1.595,0.00,0.000,0.00
2.3232,1.586,0.00,0.000,0.00
2.3296,1.595,0.00,0.000,0.00
2.3360,1.592,0.00,0.000,0.00
2.3424,1.595,0.00,0.000,0.00
2.3488,1.586,0.00,0.000,0.00
2.3552,1.595,0.00,0.000,0.00
2.3616,1.595,0.00,0.000,0.00
2.3680,1.592,0.00,0.000,0.00
2.3744,1.589,0.00,0.000,0.00
2.3808,1.592,0.00,0.000,0.00
2.3872,1.595,0.00,0.000,0.00
2.3936,1.598,0.00,0.000,0.00
2.4000,1.592,0.00,0.000,0.00
2.4064,1.589,0.00,0.000,0.00
2.4128,1.595,0.00,0.000,0.00
2.4192,1.595,0.00,0.000,0.00
2.4256,1.595,0.00,0.000,0.00
2.4320,1.583,0.00,0.000,0.00
2.4384,1.595,0.00,0.000,0.00
2.4448,1.595,0.00,0.000,0.00
2.4512,1.598,0.00,0.000,0.00
2.4576,1.589,0.00,0.000,0.00
2.4640,1.589,0.00,0.000,0.00
2.4704,1.592,0.00,0.000,0.00
2.4768,1.595,0.00,0.000,0.00
2.4832,1.592,0.00,0.000,0.00
2.4896,1.586,0.00,0.000,0.00
2.4960,1.592,0.00,0.000,0.00
2.5024,1.595,0.00,0.000,0.00
2.5088,1.598,0.00,0.000,0.00
2.5152,1.586,0.00,0.000,0.00
2.5216,1.595,0.00,0.000,0.00
2.5280,1.592,0.00,0.000,0.00
2.5344,1.595,0.00,0.000,0.00
2.5408,1.589,0.00,0.000,0.00
2.5472,1.589,0.00,0.000,0.00
2.5536,1.595,0.00,0.000,0.00
2.5600,1.598,0.00,0.000,0.00
2.5664,1.595,0.00,0.000,0.00
2.5728,1.589,0.00,0.000,0.00
2.5792,1.592,0.00,0.000,0.00
2.5856,1.595,0.00,0.000,0.00
2.5920,1.595,0.00,0.000,0.00
2.5984,1.583,0.00,0.000,0.00
2.6048,1.595,0.00,0.000,0.00
2.6112,1.595,0.00,0.000,0.00
2.6176,1.595,0.00,0.000,0.00
2.6240,1.589,0.00,0.000,0.00
2.6304,1.592,0.00,0.000,0.00
2.6368,1.595,0.00,0.000,0.00
2.6432,1.595,0.00,0.000,0.00
2.6496,1.592,0.00,0.000,0.00
2.6560,1.589,0.00,0.000,0.00
2.6624,1.592,0.00,0.000,0.00
2.6688,1.595,0.00,0.000,0.00
2.6752,1.598,0.00,0.000,0.00
2.6816,1.586,0.00,0.000,0.00
2.6880,1.595,0.00,0.000,0.00
2.6944,1.595,0.00,0.000,0.00
2.7008,1.595,0.00,0.000,0.00
2.7072,1.589,0.00,0.000,0.00
2.7136,1.595,0.00,0.000,0.00
2.7200,1.595,0.00,0.000,0.00
2.7264,1.595,0.00,0.000,0.00
2.7328,1.595,0.00,0.000,0.00
2.7392,1.586,0.00,0.000,0.00
2.7456,1.592,0.00,0.000,0.00
2.7520,1.595,0.00,0.000,0.00
2.7584,1.595,0.00,0.000,0.00
2.7648,1.589,0.00,0.000,0.00
2.7712,1.595,0.00,0.000,0.00
2.7776,1.595,0.00,0.000,0.00
2.7840,1.595,0.00,0.000,0.00
2.7904,1.589,0.00,0.000,0.00
2.7968,1.592,0.00,0.000,0.00
2.8032,1.592,0.00,0.000,0.00
2.8096,1.595,0.00,0.000,0.00
2.8160,1.595,0.00,0.000,0.00
2.8224,1.586,0.00,0.000,0.00
2.8288,1.592,0.00,0.000,0.00
2.8352,1.595,0.00,0.000,0.00
2.8416,1.598,0.00,0.000,0.00
2.8480,1.583,0.00,0.000,0.00
2.8544,1.595,0.00,0.000,0.00
2.8608,1.595,0.00,0.000,0.00
2.8672,1.595,0.00,0.000,0.00
2.8736,1.592,0.00,0.000,0.00
2.8800,1.592,0.00,0.000,0.00
2.8864,1.595,0.00,0.000,0.00
2.8928,1.595,0.00,0.000,0.00
2.8992,1.595,0.00,0.000,0.00
2.9056,1.586,0.00,0.000,0.00
2.9120,1.595,0.00,0.000,0.00
2.9184,1.595,0.00,0.000,0.00
2.9248,1.595,0.00,0.000,0.00
2.9312,1.586,0.00,0.000,0.00
2.9376,1.595,0.00,0.000,0.00
2.9440,1.592,0.00,0.000,0.00
2.9504,1.595,0.00,0.000,0.00
2.9568,1.592,0.00,0.000,0.00
2.9632,1.592,0.00,0.000,0.00
2.9696,1.595,0.00,0.000,0.00
2.9760,1.595,0.00,0.000,0.00
2.9824,1.595,0.00,0.000,0.00
2.9888,1.586,0.00,0.000,0.00
2.9952,1.592,0.00,0.000,0.00
3.0016,1.592,0.00,0.000,0.00
3.0080,1.595,0.00,0.000,0.00
3.0144,1.586,0.00,0.000,0.00
3.0208,1.595,0.00,0.000,0.00
3.0272,1.595,0.00,0.000,0.00
3.0336,1.595,0.00,0.000,0.00
3.0400,1.592,0.00,0.000,0.00
3.0464,1.592,0.00,0.000,0.00
3.0528,1.592,0.00,0.000,0.00
3.0592,1.595,0.00,0.000,0.00
3.0656,1.595,0.00,0.000,0.00
3.0720,1.586,0.00,0.000,0.00
3.0784,1.595,0.00,0.000,0.00
